case	stub_va	table_va	table_delta	template_fn_va	fn_size	class_name	prop_members	fn_members
76	0x1589e84	0x565cc80	-67972300	0x1598eb4	580	MonsterBehaviorLevelAudioConfig	nodeId;fadeOutTimeMs	eventName;eventName
77	0x1589e90	0x565cc84	-67972288	0x159915c	464	MonsterBehaviorLevelVfxConfig	nodeId;vfxPath;joint;attachParent;ignoreRotate;scale;aliveTime	
78	0x1589e9c	0x565cc88	-67972276	0x1599390	1028	MonsterBehaviorLevelInfo		vfxConfigs;vfxConfigs;audioConfigs;audioConfigs;expressionConfigs;expressionConfigs
79	0x1589ea8	0x565cc8c	-67972264	0x15997f8	256	MonsterBehaviorAssetObject	resID	
80	0x1589eb4	0x565cc90	-67972252	0x1599950	980	MonsterBehaviorResObject	enable;isDefault;isAllowedPreBehaviorsActive;allowedPreBehaviors;forbiddenPreBehaviors;levelNum	name;name;levelInfos;levelInfos
81	0x1589ec0	0x565cc94	-67972240	0x1599d88	256	MonsterBehaviorRelationAssetObject	resID	
82	0x1589ecc	0x565cc98	-67972228	0x1599ee0	256	MonsterBehaviorGroupResObject	useRelationConfig	
83	0x1589ed8	0x565cc9c	-67972216	0x159a038	564	ChampionSpellBookCareerTagItem	iIncludeTag;iExcludeTag	championAsset;championAsset
84	0x1589ee4	0x565cca0	-67972204	0x159a2d0	484	ChampionSpellBookCareerTagResObject		list;list
85	0x1589ef0	0x565cca4	-67972192	0x159a518	564	ChampionCareerTagItem	iIncludeTag;iExcludeTag	championAsset;championAsset
86	0x1589efc	0x565cca8	-67972180	0x159a7b0	484	ChampionCareerTagResObject		list;list
87	0x1589f08	0x565ccac	-67972168	0x159a9f8	564	ChampionTagItem	iIncludeTag;iExcludeTag	championAsset;championAsset
88	0x1589f14	0x565ccb0	-67972156	0x159ac90	484	ChampionTagResObject		list;list
89	0x1589f20	0x565ccb4	-67972144	0x159aed8	808	EquipBoxConfig	id	equipIds;equipIds;weights;weights
90	0x1589f2c	0x565ccb8	-67972132	0x159b264	400	CherryAwardConfig	id;weights;intValue;eAwardType;quality	
91	0x1589f38	0x565ccbc	-67972120	0x159b458	808	CherryAwardGroupConfig	id	lstAwardConfigs;lstAwardConfigs;lstEquipBoxConfigs;lstEquipBoxConfigs
92	0x1589f44	0x565ccc0	-67972108	0x159b7e4	484	CherryAwardResObject		lstAwardGroups;lstAwardGroups
93	0x1589f50	0x565ccc4	-67972096	0x159ba2c	652	CherryRoundData	round;type;forgeType;reduceHp;addMoney;addExp;duration;triggerTime;sceneId;rebornTime;killRewardRate;enterCameraBehavior	
94	0x1589f5c	0x565ccc8	-67972084	0x159bd1c	484	CherryRoundResObject		cherryRoundDataList;cherryRoundDataList
95	0x1589f68	0x565cccc	-67972072	0x159bf64	292	CherryConfigResInfo	cherryConfigResID;value	
96	0x1589f74	0x565ccd0	-67972060	0x159c0ec	756	BuffTypeGroupResObject* >		recordDict;recordDict;recordList;recordList
97	0x1589f80	0x565ccd4	-67972048	0x159c444	256	BuffTypeGroupResObject	buffTypeFlags	
98	0x1589f8c	0x565ccd8	-67972036	0x159c59c	756	BattleShopReplaceResObject* >		recordDict;recordDict;recordList;recordList
99	0x1589f98	0x565ccdc	-67972024	0x159c8f4	484	ReplaceEquipID	equipBefore;equipAfter;strEquipFighter;strEquipTank;strEquipMagic;strEquipAssassin;strEquipAssist;strEquipAdc	
100	0x1589fa4	0x565cce0	-67972012	0x159cb3c	536	BattleShopReplaceResObject	replaceModeId	replaceEquipArray;replaceEquipArray
101	0x1589fb0	0x565cce4	-67972000	0x159cdb8	756	MonsterSkinResObject* >		recordDict;recordDict;recordList;recordList
102	0x1589fbc	0x565cce8	-67971988	0x159d110	756	MonsterSkinResObject		flowList;flowList;bulletList;bulletList
103	0x1589fc8	0x565ccec	-67971976	0x159d468	484	FutureToggleSwitchResObject		versionSwitchs;versionSwitchs
104	0x1589fd4	0x565ccf0	-67971964	0x159d6b0	756	UnitSelectorData* >		recordDict;recordDict;recordList;recordList
105	0x1589fe0	0x565ccf4	-67971952	0x159da08	756	WeightedProximityTemplateData* >		recordDict;recordDict;recordList;recordList
106	0x1589fec	0x565ccf8	-67971940	0x159dd60	756	ControlPatternsTemplateData* >		recordDict;recordDict;recordList;recordList
107	0x1589ff8	0x565ccfc	-67971928	0x159e0b8	256	UnitHeroOperateSetting	iAllyTargetLock	
108	0x158a004	0x565cd00	-67971916	0x159e210	484	UnitHeroOperateSettingResObject		unitHeroOperateSettingList;unitHeroOperateSettingList
109	0x158a010	0x565cd04	-67971904	0x159e458	580	UnitSelectorType	iAutomatic;iFlick;iAim;iAllyFlick;iAllyAim;iMinionButton;iTowerButton;iAutomaticShape;iDirectionShape;iPositionShape	
110	0x158a01c	0x565cd08	-67971892	0x159e700	484	UnitSelectorTypeResObject		unitSelectorTypeList;unitSelectorTypeList
111	0x158a028	0x565cd0c	-67971880	0x159e948	452	UnitSelectorData	bType;szParameter1;szParameter2;szParameter3;szParameter4;szParameter5;iNextSelector	
112	0x158a034	0x565cd10	-67971868	0x159eb70	484	UnitSelectorResObject		unitSelectorList;unitSelectorList
113	0x158a040	0x565cd14	-67971856	0x159edb8	1732	WeightedProximityTemplateData	iLastHittableTarget;iChampionTargetBufferVsChampion;iChampionTargetBufferVsOther;iOtherTargetBufferVsChampion;iOtherTargetVsOtherForMeleeSelector;iOtherTargetVsOtherForRangedSelector;iEpicTargetBufferVsScuttler;iAttackedMeRecently;iAttackedMeRecentlyDuration;iNoDefaultTargetHero;iNoDefaultTargetEpicMonster;iNoDefaultTargetTower;iNoDefaultTargetMonster;iUnitTypeHeroForMeleeSelector;iUnitTypeHeroForRangedSelector;iUnitTypeFruit;iUnitTypeMinionPercentHP;iUnitTypeHeroHP;iNonImpliedTargetUnitTypeHero;iNonImpliedTargetUnitTypeOther;iImpliedTargetChampion;iImpliedTargetOther;iWithinBufferedAbilityRange;iOutsideBufferedAbilityRange;iUseProportionsToResolveNegatives;iBuffIDCheck;iBuffWeight;iUseHeroFadeBool;iHeroFadeFrames;iTargetHeroFadeWeight;iUseFadeToNullBool;iPercentHealthSwapWeight;iFlockingConsistency;iFlockingSeparation;iFlockingAngleLimit;iFlockingSeparationRadiusHero;iFlockingSeparationRadiusOther;iFlockingIterations;iFlockingToggle;iFlockingRange;iHealthHeroDistanceRatio;iZombieWeight	
114	0x158a04c	0x565cd18	-67971844	0x159f4e0	484	WeightedProximityTemplateResObject		weightedProximityTemplateList;weightedProximityTemplateList
115	0x158a058	0x565cd1c	-67971832	0x159f728	328	ControlPatternParamsData	intParam0;fix64Param;floatParam	
116	0x158a064	0x565cd20	-67971820	0x159f8d4	1364	ControlPatternsTemplateData	chAimType;chAimUpdate;iAimSelectUnit;iFacingOffset;iOffsetAim;iPositionTargetType;iPositionCastValue;iTapSelection;iTapMinionSelection;iTapTowerSelection;iFlickSelection;iAimSelection;iButtonDownTarget;iRequiresOffsetDirection;iRequiresSelectedDirection;iRequiresSelectedPostion;iRequiresSelectedUnit;iRequiresSelectedTargetOrDirection;chButtonDownEvent;chButtonUpEvent;chCancelUpEvent;chButtonLongDownEvent;chButtonAimDownEvent;iLongDownDelayTime	paramsData;paramsData
117	0x158a070	0x565cd24	-67971808	0x159fe8c	484	ControlPatternsTemplateResObject		controlPatternsTemplateList;controlPatternsTemplateList
118	0x158a07c	0x565cd28	-67971796	0x15a00d4	756	ActivitiesResObject* >		recordDict;recordDict;recordList;recordList
119	0x158a088	0x565cd2c	-67971784	0x15a042c	400	ActivitiesNode	funType;paramID;replaceVisibleType;triggerCountPerActor;validDuration	
120	0x158a094	0x565cd30	-67971772	0x15a0620	808	ActivitiesResObject	defaultActive	name;name;activitiesNodeList;activitiesNodeList
121	0x158a0a0	0x565cd34	-67971760	0x15a09ac	756	BattleTaskResObject* >		recordDict;recordDict;recordList;recordList
122	0x158a0ac	0x565cd38	-67971748	0x15a0d04	756	BattleEventResObject* >		recordDict;recordDict;recordList;recordList
123	0x158a0b8	0x565cd3c	-67971736	0x15a105c	756	BulletResObject* >		recordDict;recordDict;recordList;recordList
124	0x158a0c4	0x565cd40	-67971724	0x15a13b4	756	BuffResObject* >		recordDict;recordDict;recordList;recordList
125	0x158a0d0	0x565cd44	-67971712	0x15a170c	756	MonsterResObject* >		recordDict;recordDict;recordList;recordList
126	0x158a0dc	0x565cd48	-67971700	0x15a1a64	756	SkillTipResObject* >		recordDict;recordDict;recordList;recordList
127	0x158a0e8	0x565cd4c	-67971688	0x15a1dbc	364	SkillPhaseTipsInfo	isPercentage;isBracket;fExtraFactorParam;extraTypeParam	
128	0x158a0f4	0x565cd50	-67971676	0x15a1f8c	328	SkillTipResObject	iSkillRange;skillAttackType;iCustomizeCost	
129	0x158a100	0x565cd54	-67971664	0x15a2138	756	RuneRecommendResObject* >		recordDict;recordDict;recordList;recordList
130	0x158a10c	0x565cd58	-67971652	0x15a2490	756	RunePageResObject* >		recordDict;recordDict;recordList;recordList
131	0x158a118	0x565cd5c	-67971640	0x15a27e8	484	RunePageResObject		simpleDesc;simpleDesc
132	0x158a124	0x565cd60	-67971628	0x15a2a30	756	RuneResObject* >		recordDict;recordDict;recordList;recordList
133	0x158a130	0x565cd64	-67971616	0x15a2d88	424	RuneStaticDataNode	descText;textFormat;toggle_AG;toggle_IG;textKey_AG;textKey_IG	
134	0x158a13c	0x565cd68	-67971604	0x15a2f94	536	RuneResObject	type	staticDataList;staticDataList
135	0x158a148	0x565cd6c	-67971592	0x15a3210	328	SkinUpgradeInfo	skinSubId;skinId;disguiseID	
136	0x158a154	0x565cd70	-67971580	0x15a33bc	484	SkinUpgradeResObject		list;list
137	0x158a160	0x565cd74	-67971568	0x15a3604	756	SkinReplaceResObject* >		recordDict;recordDict;recordList;recordList
138	0x158a16c	0x565cd78	-67971556	0x15a395c	756	SkillOperModeReplaceEntry		skill;skill;operAssets;operAssets
139	0x158a178	0x565cd7c	-67971544	0x15a3cb4	484	SummonReplaceEntry		summon;summon
140	0x158a184	0x565cd80	-67971532	0x15a3efc	484	SkillBuffReplaceEntry		flowPath;flowPath
141	0x158a190	0x565cd84	-67971520	0x15a4144	1724	SkinReplaceResObject	skillReplaceTable;buffReplaceTable;bornFlowReplace;postureFlowAsset	flowList;flowList;bulletList;bulletList;summonReplaceTable;summonReplaceTable;prefabReplaceTable;prefabReplaceTable;skillOperReplaceTable;skillOperReplaceTable
142	0x158a19c	0x565cd88	-67971508	0x15a4864	756	SkinResObject* >		recordDict;recordDict;recordList;recordList
143	0x158a1a8	0x565cd8c	-67971496	0x15a4bbc	756	MarkResObject* >		recordDict;recordDict;recordList;recordList
144	0x158a1b4	0x565cd90	-67971484	0x15a4f14	756	SkillFieldResObject* >		recordDict;recordDict;recordList;recordList
145	0x158a1c0	0x565cd94	-67971472	0x15a526c	284	SkillFieldResObject	radiusVar;hurtVar	
146	0x158a1cc	0x565cd98	-67971460	0x15a53ec	756	ChampionResObject* >		recordDict;recordDict;recordList;recordList
147	0x158a1d8	0x565cd9c	-67971448	0x15a5744	756	ButtonTemplateResObject* >		recordDict;recordDict;recordList;recordList
148	0x158a1e4	0x565cda0	-67971436	0x15a5a9c	436	ButtonTemplateResObject	iButtonNoAim;iFaceFocusPoint;iFaceFocusPointInDeadZone;iAfterMoveDeadZoneRadius;iButtonFollowsOnDeadzoneExit;bJoystickIgnoreCanCast	
149	0x158a1f0	0x565cda4	-67971424	0x15a5cb4	756	FPTemplateResObject* >		recordDict;recordDict;recordList;recordList
150	0x158a1fc	0x565cda8	-67971412	0x15a600c	400	FPTemplateResObject	iHideFocusPoint;iTPMinDistance;iTPMaxDistanceType;iTPMaxDistance;iFpMustInMap	
151	0x158a208	0x565cdac	-67971400	0x15a6200	756	SkillOperateResObject* >		recordDict;recordDict;recordList;recordList
152	0x158a214	0x565cdb0	-67971388	0x15a6558	756	SkillResObject* >		recordDict;recordDict;recordList;recordList
153	0x158a220	0x565cdb4	-67971376	0x15a68b0	756	UniversalOperateResObject* >		recordDict;recordDict;recordList;recordList
154	0x158a22c	0x565cdb8	-67971364	0x15a6c08	756	EquipProgrammeResObject* >		recordDict;recordDict;recordList;recordList
155	0x158a238	0x565cdbc	-67971352	0x15a6f60	320	SystemRecommendEquip	systemDesc;systemName;isSupportRecommend	
156	0x158a244	0x565cdc0	-67971340	0x15a7104	292	EquipProgrammeResObject	equipRecommendID;heroID	
157	0x158a250	0x565cdc4	-67971328	0x15a728c	756	EquipShopSchemeConfig* >		recordDict;recordDict;recordList;recordList
158	0x158a25c	0x565cdc8	-67971316	0x15a75e4	636	EquipShopSchemeBase	equipSortInShop;isAllEnable;upVersion;downVersion	equip;equip
159	0x158a268	0x565cdcc	-67971304	0x15a78c4	292	EquipShopSchemeConfig	shopShowType;isCurEnable	
160	0x158a274	0x565cdd0	-67971292	0x15a7a4c	756	EquipResObject* >		recordDict;recordDict;recordList;recordList
161	0x158a280	0x565cdd4	-67971280	0x15a7da4	424	EquipStaticDataNode	descText;textFormat;toggle_AG;toggle_IG;textKey_AG;textKey_IG	
162	0x158a28c	0x565cdd8	-67971268	0x15a7fb0	292	EquipResObject_SkillAttr	attr;isShow	
163	0x158a298	0x565cddc	-67971256	0x15a8138	924	EquipResObject_EquipSkill	priority;group;stealDisable;canOverLay	res;res;desc;desc
164	0x158a2a4	0x565cde0	-67971244	0x15a8538	256	EquipAssetObject	resID	
165	0x158a2b0	0x565cde4	-67971232	0x15a8690	None	EquipResObject	isInShelf;disable;isUpCompoundEquip;exchangePubishCD;armorPierce;price;hp;groupId;hpRecoverRate;ad;armor;criRate;criDamage;hpRecover;attackSpeedRate;armorPierceRate;ap;magicStealRate;attackStealRate;moveSpeedRate;moveSpeed;cdReduction;cdHaste;magicPierceRate;mp;magicPierce;magicResistance;tenacityRate;healShieldRate;mpRecover;adaptive;disableHeroAttactType;equipmentType;eTypes;isFlowControlPurchasePermissions;level;cdBuff;layerBuff;isSupport;isEnhanced;isJungle;purchaseCD;isToEquipSlot;isEnableRepeatPurchase;maxRepeatPurchaseCount;isRainbow;isGainEquip;isForgeEquip	inFlowLimitPurchaseTips;inFlowLimitPurchaseTips;upgradeEquip;upgradeEquip
166	0x158a2bc	0x565cde8	-67971220	0x15a923c	756	VirtualSkillResObject* >		recordDict;recordDict;recordList;recordList
167	0x158a2c8	0x565cdec	-67971208	0x15a9594	484	VirtualSkillResObject		championAsset;championAsset
168	0x158a2d4	0x565cdf0	-67971196	0x15a97dc	756	VirtualChampionResObject* >		recordDict;recordDict;recordList;recordList
169	0x158a2e0	0x565cdf4	-67971184	0x15a9b34	756	FreeSkillResObject* >		recordDict;recordDict;recordList;recordList
170	0x158a2ec	0x565cdf8	-67971172	0x15a9e8c	960	FreeSkillResObject	enableReplaceModel;allowReplaceHeadbar;isInSpellBookSkillPool;isHideSkillIcon;iIncludeTag;iIncludeTagSelected;iExcludeTag;iExcludeTagSelected;iExcludeTagRemove;iSpellBookSkillCareerTag;iSpellBookSkillCareerTagSelected;freeSkillDamageFix;freeSkillBeDamageFix	originHeroID;originHeroID
171	0x158a2f8	0x565cdfc	-67971160	0x15aa2b0	756	SpellBookSkillResObject* >		recordDict;recordDict;recordList;recordList
172	0x158a304	0x565ce00	-67971148	0x15aa608	880	SpellBookSkillResObject	enableReplaceModel;disable;disableUSBCDRule	originHeroID;originHeroID;cdReduce;cdReduce
173	0x158a310	0x565ce04	-67971136	0x15aa9dc	756	DecorationSkillResObject* >		recordDict;recordDict;recordList;recordList
174	0x158a31c	0x565ce08	-67971124	0x15aad34	292	DecorationSkillResObject	isCommon;ignoreSkillHaste	
175	0x158a328	0x565ce0c	-67971112	0x15aaebc	756	LevelSkillResObject* >		recordDict;recordDict;recordList;recordList
176	0x158a334	0x565ce10	-67971100	0x15ab214	484	LevelSkillResObject		replaceSpellAsset;replaceSpellAsset
177	0x158a340	0x565ce14	-67971088	0x15ab45c	756	SummonerSkillResObject* >		recordDict;recordDict;recordList;recordList
178	0x158a34c	0x565ce18	-67971076	0x15ab7b4	292	SummonerSkillResObject	isCommon;ignoreSkillHaste	
179	0x158a358	0x565ce1c	-67971064	0x15ab93c	484	AFKResObject		afkConfigResObjectList;afkConfigResObjectList
180	0x158a364	0x565ce20	-67971052	0x15abb84	328	BattleScoringDataCollectInfo	collectType;iParam1;iParam2	
